time_s,explicit_euler,semi_implicit_euler,leapfrog,rk4
17.2,0.10502,0.02915,0.0146763,0.000605863
17.2167,0.105043,0.0291513,0.0146767,0.000605187
17.2333,0.105064,0.0291515,0.014677,0.000606285
17.25,0.105086,0.0291526,0.0146774,0.000606201
17.2667,0.105108,0.0291523,0.0146765,0.000606454
17.2833,0.105129,0.0291523,0.0146764,0.000607553
17.3,0.105151,0.0291528,0.0146756,0.000606708
17.3167,0.105172,0.029154,0.0146747,0.000606454
17.3333,0.105195,0.0291548,0.0146747,0.000605102
17.35,0.105216,0.0291547,0.0146743,0.000605017
17.3667,0.105238,0.0291546,0.0146744,0.000604848
17.3833,0.10526,0.0291559,0.0146747,0.000605778
17.4,0.105282,0.0291557,0.0146765,0.000605187
17.4167,0.105303,0.0291556,0.0146768,0.000605187
